procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8212672  13036 3816804    0    0     0   305 1987 5202 21  7 72  0  0
 1  0      0 8208388  13036 3809920    0    0     0   155 2344 6670 20  9 72  0  0
 0  0      0 8223004  13036 3787736    0    0     0   178 2454 6701 20  8 72  0  0
 3  0      0 8225904  13036 3781756    0    0     0  1340 2826 8166 22  9 69  0  0
10  0      0 8236356  13036 3776180    0    0     0   431 2626 6074 65  7 28  0  0
 9  0      0 8230060  13036 3776856    0    0     0   138 2789 5712 94  6  0  0  0
 4  0      0 8251296  13036 3764544    0    0     0    90 2239 3935 94  6  0  0  0
 3  0      0 8248544  13036 3762984    0    0     0   146 1977 3003 95  5  0  0  0
 1  0      0 8267564  13036 3763392    0    0     0   155 1665 2975 47  4 48  0  0
 0  0      0 8265044  13036 3764016    0    0     0   142 1450 3023 22  5 72  0  0
 1  0      0 8260760  13036 3764692    0    0     0   496 1278 3199  6  5 89  0  0
 0  0      0 8257484  13036 3765304    0    0     0   231 1170 2921  5  3 92  0  0
 7  0      0 8228504  13036 3766184    0    0     0   364 1837 3187 65  8 27  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 8220696  13036 3766852    0    0     0   214 1944 2808 95  5  0  0  0
 5  0      0 8212380  13036 3768380    0    0     0   456 2269 3568 94  6  0  0  0
 4  0      0 8208604  13036 3768872    0    0     0   129 1914 2673 95  5  0  0  0
 3  0      0 8205976  13036 3769340    0    0     0   393 1683 3078 48  4 47  0  0
 1  0      0 8167044  13036 3812432    0    0     0   346 1803 4070 26  5 69  0  0
 1  0      0 8164036  13036 3803280    0    0     0   336 2506 6880 20  8 71  0  0
 0  0      0 8161016  13036 3790036    0    0     0   518 2664 7671 22  9 69  0  0
 6  0      0 8183804  13036 3787268    0    0     0   130 2748 6190 64  8 28  0  0
 4  0      0 8192092  13036 3776912    0    0     0   239 2657 5071 92  8  0  0  0
 5  0      0 8190620  13036 3776840    0    0     0   304 1872 2754 93  5  3  0  0
 3  0      0 8193392  13036 3769784    0    0     0   132 1739 2538 62  2 36  0  0
 1  0      0 8198692  13036 3770280    0    0     0   226 1649 3005 41  5 54  0  0
 1  0      0 8189620  13036 3770748    0    0     0   131 1480 2990 23  5 72  0  0
 0  0      0 8196448  13036 3755296    0    0     0   309 1327 3429  6  5 88  0  0
 0  0      0 8126168  13036 3810480    0    0     0   646 2349 6762 23  9 68  0  0
11  0      0 8108296  13036 3839012    0    0     0   395 2778 6972 61 10 28  0  0
14  0      0 8169580  13036 3783728    0    0     0     3 2766 5590 94  7  0  0  0
 7  0      0 8164544  13036 3781304    0    0     0   355 2574 5424 92  6  2  0  0
 4  0      0 8157992  13036 3781972    0    0     0   181 2490 5643 86  8  5  0  0
 4  0      0 8155220  13036 3783848    0    0     0   160 2551 5602 86  8  6  0  0
 0  0      0 8153024  13036 3797156    0    0     0   245 2588 6584 54  8 38  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8146220  13036 3797820    0    0     0   222 2442 6870 19  8 73  0  0
 2  0      0 8142440  13036 3782660    0    0     0   417 2351 6537 17  7 75  0  0
11  0      0 8138156  13036 3783560    0    0     0   250 2638 6381 65  6 29  0  0
 6  0      0 8146556  13036 3794340    0    0     0   120 2737 5955 92  8  0  0  0
11  0      0 8132448  13036 3791988    0    0     0   290 2654 6351 79  9 12  0  0
 4  0      0 8136956  13036 3789748    0    0     0   335 2729 6508 71  9 20  0  0
 5  0      0 8128452  13036 3802364    0    0     0   100 2531 6159 72  8 20  0  0
 2  0      0 8126696  13036 3803548    0    0     0   453 2597 6615 51  6 43  0  0
 0  0      0 8116868  13036 3796208    0    0     0   115 2319 6558 18  8 74  0  0
 1  0      0 8112836  13036 3787932    0    0     0   220 2322 6655 18  8 73  0  0
11  0      0 8121064  13036 3800100    0    0     0   465 2791 6910 62 10 28  0  0
 5  0      0 8111516  13036 3808700    0    0     0   144 2694 5786 92  8  0  0  0
12  0      0 8030212  13036 3873464    0    0     0   309 2886 6446 90 10  0  0  0
11  0      0 8050756  13036 3818896    0    0     0  2657 2236 5128 94  6  0  0  0
11  0      0 8092720  13036 3779880    0    0     0  1478 2160 3939 92  8  0  0  0
 1  0      0 8116856  13036 3780272    0    0     0   321 1671 2952 57  6 38  0  0
 0  0      0 8124452  13036 3789556    0    0     0   494 1562 3873  8  7 85  0  0
 0  0      0 8121176  13036 3790080    0    0     0   277 1244 3060  6  5 89  0  0
 6  0      0 8123788  13036 3784540    0    0     0    25 1530 2474 55  4 40  0  0
 5  0      0 8118496  13036 3779768    0    0     0   691 1994 2988 91  3  6  0  0
 3  0      0 8116484  13036 3779808    0    0     0     0 1715 2330 79  5 16  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8112704  13036 3780576    0    0     0  5452 1781 2834 66  6 28  0  0
 6  0      0 8116256  13036 3788588    0    0     0   126 1716 2835 52  5 43  0  0
 1  0      0 8116572  13036 3789064    0    0     0   139 1506 2915 31  5 64  0  0
 0  0      0 8123908  13036 3785644    0    0     0   214 1391 3208  8  5 87  0  0
 0  0      0 8128268  13036 3787012    0    0     0   608 1456 3644  8  6 86  0  0
 8  0      0 8120456  13036 3780968    0    0     0   438 1792 3399 57  4 39  0  0
 6  0      0 8113400  13036 3781484    0    0     0   225 1891 2672 96  4  0  0  0
 6  0      0 8100052  13036 3789068    0    0     0     6 1791 2290 95  5  0  0  0
 5  0      0 8107492  13036 3789500    0    0     0   114 1878 2581 95  5  0  0  0
 5  0      0 8115208  13036 3790076    0    0     0   184 1943 2717 95  5  0  0  0
 3  0      0 8102512  13036 3783768    0    0     0   485 1935 3708 56  6 38  0  0
 0  0      0 8099868  13036 3784476    0    0     0   206 1762 4025 22  5 73  0  0
 0  0      0 8106204  13036 3786420    0    0     0   228 1425 3541  9  6 85  0  0
 3  0      0 8094628  13036 3786148    0    0     0   420 1888 3779 49  6 46  0  0
 3  0      0 8092120  13036 3787952    0    0     0    26 1698 2364 79  5 16  0  0
 3  0      0 8081536  13036 3789856    0    0     0   377 2046 3430 80  6 14  0  0
 6  0      0 8077268  13036 3789596    0    0     0   420 1840 2895 80  5 14  0  0
 3  0      0 8076764  13036 3787612    0    0     0    67 1618 2525 54  4 42  0  0
 0  0      0 8102356  13036 3774876    0    0     0   559 1416 3560  7  5 88  0  0
 0  0      0 8096072  13036 3774060    0    0     0   278 1339 3170  7  4 88  0  0
 0  0      0 8090036  13036 3777376    0    0     0   745 1380 3408  7  5 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 8077216  13036 3774824    0    0     0   154 1931 3158 46  5 49  0  0
 4  0      0 8076460  13036 3775332    0    0     0   224 2238 2938 80  5 15  0  0
 2  0      0 8090652  13036 3775348    0    0     0   240 1682 2410 62  5 33  0  0
 2  0      0 8089404  13036 3776180    0    0     0   192 1796 2940 55  5 40  0  0
 2  0      0 8085124  13036 3776680    0    0     0   298 1431 2563 31  2 66  0  0
 2  0      0 8080616  13036 3778240    0    0     0   435 1793 3787 35  6 59  0  0
 1  0      0 8078600  13036 3778956    0    0     0   195 1397 3121 14  6 80  0  0
 1  0      0 8076080  13036 3779560    0    0     0   158 1323 3021  7  5 88  0  0
 4  0      0 8068520  13036 3786136    0    0     0   436 1578 3013 43  6 51  0  0
 3  0      0 8068772  13036 3781008    0    0     0   217 1910 2986 80  5 14  0  0
 6  0      0 7982348  13036 3861176    0    0     0   188 2260 5113 84  8  9  0  0
 5  0      0 7950288  13036 3865964    0    0     0   564 2894 7333 87 10  3  0  0
 3  0      0 7911384  13036 3855132    0    0     0   645 3033 8206 85 12  3  0  0
 5  0      0 7852604  13036 3862396    0    0     0  1240 3458 9351 75 15 10  0  0
 5  0      0 7613176  13036 3967424    0    0     0  1720 5001 14257 62 24 14  0  0
 9  0      0 7515536  13036 3942768    0    0     0   506 6993 16911 71 27  1  0  0
16  0      0 7438056  13036 3958316    0    0     0   679 8256 21359 69 26  5  0  0
 8  0      0 7476244  13036 3921872    0    0     0   388 3502 8777 87 13  0  0  0
10  0      0 7515940  13036 3896456    0    0     0    37 6281 15126 82 18  0  0  0
 8  0      0 7532648  13036 3904292    0    0     0   276 5955 14454 81 19  0  0  0
 8  0      0 7374496  13036 3964932    0    0     0   645 2966 9017 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 7415100  13036 3945276    0    0     0   483 6177 17074 70 18 12  0  0
 0  0      0 7454044  13036 3898144    0    0     0   717 4287 13410 28 15 57  0  0
 1  0      0 7872744  13036 3878220    0    0     0   926 2615 7145 21 10 69  0  0
 6  0      0 7913760  13036 3835196    0    0     0   187 2310 5232 52  7 40  0  0
10  0      0 7890136  13036 3841088    0    0     0   517 2881 6717 91 10  0  0  0
 6  0      0 7825804  13036 3852096    0    0     0  2173 2981 6926 91  9  0  0  0
 9  0      0 7786500  13036 3834244    0    0     0   340 2713 6483 88 12  0  0  0
 8  0      0 7674028  13036 3890820    0    0     0  1531 3176 8915 84 16  0  0  0
 7  0      0 7598380  13036 3882448    0    0     0   262 3018 7111 76 18  6  0  0
 1  0      0 7619152  13036 3853456    0    0     0   192 2296 6035 32 11 57  0  0
 4  0      0 7633620  13036 3863988    0    0     0   104 1491 3535 10  3 87  0  0
11  0      0 7617344  13036 3883428    0    0     0   436 2083 4631 55  7 38  0  0
 8  0      0 7553800  13036 3902804    0    0     2   155 2412 5376 90 10  0  0  0
 6  0      0 7519984  13036 3884980    0    0     0   548 2423 5264 90 10  0  0  0
 3  0      0 7551420  13036 3871552    0    0     0    16 1951 3517 82  7 11  0  0
 7  0      0 7549416  13036 3874924    0    0     0    31 1902 3892 59  3 38  0  0
 6  0      0 7558972  13036 3898948    0    0     0    95 6629 17796 65 24 11  0  0
 1  0      0 7560512  13036 3869100    0    0     0   362 2589 8481 24 11 65  0  0
 7  0      0 7565576  13036 3886792    0    0     0   229 1963 5252 19  8 73  0  0
 7  0      0 7539204  13036 3870804    0    0     0   315 7145 19699 60 20 21  0  0
 6  0      0 7553196  13036 3851196    0    0     0    81 3052 6636 93  7  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 7523880  13036 3891172    0    0     0   128 2058 4382 84  4 12  0  0
11  0      0 7464316  13036 3897892    0    0     0    39 2364 7725 85 14  1  0  0
 4  0      0 7470540  13036 3865872    0    0     0    93 6945 18079 67 19 14  0  0
 2  0      0 7489108  13036 3859412    0    0     0   355 1950 5725 13  7 80  0  0
 0  0      0 7490756  13036 3874452    0    0     0    69 1429 4110 10  5 84  0  0
 0  0      0 7927900  13036 3820964    0    0     0   689 1964 5886 15  8 76  0  0
 6  0      0 7955824  13036 3783752    0    0     0    64 1458 2472 46  3 52  0  0
 5  0      0 7956772  13036 3860540    0    0     0   139 2371 4958 92  8  0  0  0
 3  0      0 7981540  13036 3825844    0    0     0     3 2433 3660 94  5  1  0  0
 2  0      0 8020464  13036 3786156    0    0     0  1014 1815 3488 60  6 34  0  0
 1  0      0 8048720  13036 3784620    0    0     0    27 1151 1868 32  4 64  0  0
 0  0      0 8057360  13036 3782040    0    0     0   128  935 1604 14  4 82  0  0
 1  0      0 8056604  13036 3774516    0    0     0     6  655 1185  2  3 95  0  0
 1  0      0 8046056  13036 3774388    0    0     0    28  659 1222  2  2 95  0  0
 3  0      0 8057164  13036 3774920    0    0     0     1 1245 1598 39  7 54  0  0
 3  0      0 8056664  13036 3774972    0    0     0    72 1525 1684 78  4 18  0  0
 3  0      0 8047368  13036 3781820    0    0     0   246 1337 1588 56  3 40  0  0
 2  0      0 8043860  13036 3774244    0    0     0   107 1223 1643 42  4 54  0  0
 1  0      0 8042356  13036 3782508    0    0     0     0  819 1384 12  4 85  0  0
 1  0      0 8068868  13036 3770232    0    0     0     5  762 1421  3  4 93  0  0
 1  0      0 8083008  13036 3762720    0    0     0     6  650 1191  2  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8074788  13036 3762540    0    0     0     0  653 1177  2  2 96  0  0
 2  0      0 8079828  13036 3762768    0    0     0   186 1021 1506 25  4 72  0  0
 3  0      0 8070256  13036 3762572    0    0     0    60 1360 1647 53  5 42  0  0
 4  0      0 8077368  13036 3770672    0    0     0     6 1384 1681 53  5 42  0  0
 1  0      0 8066300  13036 3769744    0    0     0     0 1026 1508 28  4 69  0  0
 2  0      0 8062784  13036 3770320    0    0     0    46 1012 1511 28  3 69  0  0
 1  0      0 8077736  13036 3770352    0    0     0     4  852 1416 12  4 84  0  0
 1  0      0 8073212  13036 3763388    0    0     0   245  639 1196  2  2 96  0  0
 0  0      0 8074976  13036 3762852    0    0     0   177  711 1326  3  3 94  0  0
 5  0      0 8071984  13036 3762868    0    0     0     4 1151 1519 44  4 53  0  0
 4  0      0 8067972  13036 3762888    0    0     0     1 1629 1563 96  4  0  0  0
 2  0      0 8056664  13036 3769776    0    0     0   194 1603 1547 91  3  6  0  0
 2  0      0 8068836  13036 3769848    0    0     0     0 1332 1654 53  4 43  0  0
 1  0      0 8076316  13036 3770456    0    0     0     0 1323 1602 52  4 44  0  0
 1  0      0 8079352  13036 3762944    0    0     0    13  776 1100 17  1 83  0  0
 1  0      0 8070536  13036 3762980    0    0     0     0  685 1342  3  3 94  0  0
 0  0      0 8085288  13036 3762340    0    0     0     0  685 1316  2  4 94  0  0
 3  0      0 8072748  13036 3762368    0    0     0    22 1265 1731 37  4 59  0  0
 3  0      0 8070480  13036 3762412    0    0     0   154 1490 1556 77  4 18  0  0
 3  0      0 8069976  13036 3770540    0    0     0     0 1499 1597 77  4 19  0  0
 2  0      0 8069488  13036 3770364    0    0     0    25 1508 1586 77  4 19  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 8084192  13036 3763040    0    0     0     0 1346 1495 55  2 43  0  0
 0  0      0 8072164  13036 3763048    0    0     0     0 1044 1393 32  3 65  0  0
 0  0      0 8071156  13036 3763088    0    0     0    18  737 1379  3  4 94  0  0
 0  0      0 8075276  13036 3763128    0    0     0   186  715 1343  3  4 93  0  0
 3  0      0 8068388  13036 3770028    0    0     0     9 1098 1521 33  4 64  0  0
 3  0      0 8067632  13036 3770060    0    0     0     0 1509 1626 78  4 18  0  0
 4  0      0 8059820  13036 3770668    0    0     0   115 1516 1640 78  4 18  0  0
 3  0      0 8058308  13036 3763168    0    0     0     0 1335 1463 57  3 40  0  0
 2  0      0 8061080  13036 3762548    0    0     0    43 1137 1520 38  2 60  0  0
 1  0      0 8060332  13036 3762500    0    0     0     0  824 1608  8  4 88  0  0
 3  0      0 8064744  13036 3769964    0    0     0   269  820 1677  4  4 92  0  0
 0  0      0 8047860  13036 3776288    0    0     0    22  823 1784  4  1 94  0  0
 4  0      0 8053432  13036 3761972    0    0     0    32 1265 2151 42  2 56  0  0
 3  0      0 8051680  13036 3761920    0    0     0     0 1567 1445 95  1  4  0  0
 3  0      0 8051176  13036 3762572    0    0     0     1 1491 1434 76  1 23  0  0
 4  0      0 8051932  13036 3761900    0    0     0     0 1485 1333 77  1 23  0  0
 3  0      0 8053696  13036 3761944    0    0     0     0 1267 1385 52  1 47  0  0
 1  0      0 8052200  13036 3761920    0    0     0     2 1092 1353 38  1 62  0  0
 1  0      0 8072628  13036 3761976    0    0     0   224  869 1801  9  2 90  0  0
 0  0      0 8072124  13036 3762108    0    0     0     0  567  989  2  1 97  0  0
 5  0      0 8071116  13036 3761944    0    0     0     0 1149 1765 40  2 58  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 8069856  13036 3761708    0    0     0     0 1587 1401 99  1  0  0  0
 3  0      0 8069856  13036 3761908    0    0     0     0 1517 1605 82  1 17  0  0
 2  0      0 8066332  13036 3761788    0    0     0     2 1327 1635 59  1 40  0  0
 2  0      0 8066332  13036 3761968    0    0     0   195  986 1470 27  1 72  0  0
 1  0      0 8065084  13036 3761968    0    0     0     1 1080 1774 29  1 70  0  0
 1  0      0 8061052  13036 3762268    0    0     0     0  787 1392 13  1 86  0  0
 1  0      0 8058532  13036 3761788    0    0     0     0  613 1187  2  1 97  0  0
 3  0      0 8057540  13036 3762592    0    0     0     0  962 1408 30  1 69  0  0
 4  0      0 8071520  13036 3761996    0    0     0     2 1621 2255 80  2 19  0  0
 3  0      0 8067772  13036 3761928    0    0     0     5 1561 1844 78  1 21  0  0
 2  0      0 8065252  13036 3761888    0    0     0   265 1446 1459 73  1 27  0  0
 1  0      0 8064760  13036 3761980    0    0     0    44 1179 1265 37  1 62  0  0
 0  0      0 8061512  13036 3761956    0    0     0     0  773 1251 14  1 85  0  0
 0  0      0 8061512  13036 3762620    0    0     0     0  543  956  2  1 98  0  0
 0  0      0 8060508  13036 3761964    0    0     0   473  613 1135  2  1 97  0  0
 5  0      0 8059500  13036 3762620    0    0     0    21  947 1170 37  1 62  0  0
 6  0      0 8055720  13036 3761980    0    0     0     3 1821 2292 98  2  0  0  0
 5  0      0 8053452  13036 3761984    0    0     0   242 1651 1558 99  1  0  0  0
 3  0      0 8049420  13036 3762140    0    0     0     2 1626 1523 96  1  3  0  0
 1  0      0 8048664  13036 3762624    0    0     0     0 1294 1312 59  1 41  0  0
 0  0      0 8050428  13036 3761856    0    0     0     4  645 1231  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8049684  13036 3762008    0    0     0    70  621 1249  2  1 97  0  0
 0  0      0 8060088  13036 3763036    0    0     0     0  652 1286  3  1 95  0  0
 5  0      0 8059584  13036 3761972    0    0     0     0  973 1299 36  1 63  0  0
 3  0      0 8057568  13036 3766000    0    0     0   256 1655 1605 96  1  3  0  0
 2  0      0 8054544  13036 3777028    0    0     0     1 1473 1721 69  1 30  0  0
 2  0      0 8068420  13036 3761996    0    0     0     0 1140 1464 39  1 60  0  0
 2  0      0 8067916  13036 3762616    0    0     0    14  887 1098 27  1 73  0  0
 2  0      0 8075380  13036 3762604    0    0     0     4  940 1298 27  1 72  0  0
 1  0      0 8075128  13036 3761976    0    0     0     0  771 1256 13  1 86  0  0
 1  0      0 8063568  13036 3771912    0    0     0     0  634 1196  3  1 96  0  0
 6  0      0 8066624  13036 3776776    0    0     0   215 1056 1603 36  2 62  0  0
 6  0      0 8075628  13036 3771300    0    0     0     2 1740 1975 99  1  0  0  0
 6  0      0 8075880  13036 3762604    0    0     0     1 1586 1338 99  1  0  0  0
