procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8175180  13036 3762580    0    0     0    43  713 1569  3  1 96  0  0
 0  0      0 8171188  13036 3763200    0    0     0     0  586 1087  3  1 97  0  0
 0  0      0 8168936  13036 3763216    0    0     0   173  597 1064  2  1 97  0  0
 0  0      0 8182180  13036 3763196    0    0     0     1  593 1072  3  1 97  0  0
 1  0      0 8180192  13036 3763176    0    0     0     4  619 1116  2  1 97  0  0
 1  0      0 8178432  13036 3763224    0    0     0     0  572 1041  2  1 97  0  0
 1  0      0 8175156  13036 3764216    0    0     0    29  606 1100  2  1 97  0  0
 0  0      0 8173392  13036 3763176    0    0     0     2  599 1083  2  1 97  0  0
 0  0      0 8171628  13036 3763180    0    0     0   205  604 1106  3  1 97  0  0
 1  0      0 8186560  13036 3763180    0    0     0    97  600 1081  2  1 97  0  0
 1  0      0 8185332  13036 3763196    0    0     0     1  600 1088  2  1 97  0  0
 0  0      0 8183832  13036 3763196    0    0     0    42  602 1092  2  1 97  0  0
 0  0      0 8182572  13036 3763184    0    0     0    43  599 1094  2  1 97  0  0
 2  0      0 8180068  13036 3763184    0    0     0     2  603 1066  2  1 97  0  0
 0  0      0 8179072  13036 3763200    0    0     0    17  609 1082  2  1 97  0  0
 1  0      0 8177308  13036 3764696    0    0     0   214  640 1318  3  1 96  0  0
 0  0      0 8175040  13036 3761176    0    0     0     0  661 1392  3  1 96  0  0
 0  0      0 8172268  13036 3761808    0    0     0     1  591 1078  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8170760  13036 3761124    0    0     0    16  696 1468  3  1 96  0  0
 0  0      0 8168264  13036 3761180    0    0     0     2  634 1282  3  1 96  0  0
 1  0      0 8165744  13036 3759496    0    0     0     1  635 1195  2  1 97  0  0
 0  0      0 8178540  13036 3761164    0    0     0   215  657 1327  3  1 96  0  0
 1  0      0 8176780  13036 3761164    0    0     0     1  696 1454  3  1 96  0  0
 0  0      0 8174516  13036 3761168    0    0     0     0  616 1165  3  1 97  0  0
 1  0      0 8174520  13036 3758900    0    0     0    17  816 1860  4  1 95  0  0
 1  0      0 8178672  13036 3761292    0    0     0     2  853 2016  5  2 94  0  0
 1  0      0 8173160  13036 3769076    0    0     0     6  676 1329  3  2 95  0  0
 0  0      0 8171144  13036 3761796    0    0     0     0  648 1123  3  1 96  0  0
 0  0      0 8168880  13036 3761788    0    0     0   186  608 1094  2  1 96  0  0
 0  0      0 8166612  13036 3761792    0    0     0     0  635 1158  3  1 96  0  0
 0  0      0 8165856  13036 3761800    0    0     0    12  615 1107  3  1 96  0  0
 0  0      0 8163084  13036 3761808    0    0     0    34  649 1143  3  1 96  0  0
 1  0      0 8178072  13036 3761840    0    0     0     4  643 1134  2  1 96  0  0
 0  0      0 8175580  13036 3761844    0    0     0   107  643 1157  3  1 96  0  0
 1  0      0 8174332  13036 3761812    0    0     0     0  618 1086  2  1 97  0  0
 1  0      0 8174332  13036 3761808    0    0     0    41  630 1121  3  1 96  0  0
 1  0      0 8174080  13036 3761792    0    0     0   266  615 1093  2  2 96  0  0
 1  0      0 8172572  13036 3761780    0    0     0    78  623 1102  3  1 96  0  0
 1  0      0 8170812  13036 3761820    0    0     0     6  638 1130  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8171064  13036 3768440    0    0     0     0  620 1152  3  1 96  0  0
 0  0      0 8178628  13036 3761176    0    0     0     0  590 1079  2  1 97  0  0
 0  0      0 8178628  13036 3761816    0    0     0     0  580 1072  2  1 97  0  0
 0  0      0 8176364  13036 3761816    0    0     0   186  593 1067  2  1 97  0  0
 1  0      0 8185812  13036 3761284    0    0     0    20  649 1274  4  1 95  0  0
 1  0      0 8184584  13036 3761204    0    0     0     2  650 1253  3  1 96  0  0
 0  0      0 8182824  13036 3761188    0    0     0     1  641 1253  3  1 96  0  0
 3  0      0 8181828  13036 3761176    0    0     0     0  626 1198  3  1 96  0  0
 0  0      0 8179320  13036 3761832    0    0     0     0  605 1084  3  1 96  0  0
 0  0      0 8178564  13036 3761828    0    0     0     0  587 1054  2  1 97  0  0
 1  0      0 8177056  13036 3761168    0    0     0   197  645 1272  3  1 96  0  0
 1  0      0 8176304  13036 3761824    0    0     0     2  589 1056  2  1 97  0  0
 1  0      0 8175800  13036 3761828    0    0     0     0  593 1092  2  1 97  0  0
 0  0      0 8175560  13036 3761828    0    0     0     1  568 1036  2  1 97  0  0
 0  0      0 8175068  13036 3761812    0    0     0     0  590 1082  3  1 96  0  0
 1  0      0 8178852  13036 3761172    0    0     0     0  701 1453  3  1 96  0  0
 0  0      0 8177596  13036 3761192    0    0     0   202  624 1197  3  1 96  0  0
 1  0      0 8177608  13036 3761216    0    0     0     0  647 1318  3  1 96  0  0
 0  0      0 8189756  13036 3761848    0    0     0   115  681 1358  4  2 95  0  0
 0  0      0 8188496  13036 3761820    0    0     0    30  594 1077  2  2 96  0  0
 0  0      0 8108108  13036 3827752    0    0     0    79 1633 5055 12  5 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8480028  13036 3800080    0    0     0     5 1935 5771 18  7 75  0  0
 8  0      0 8356388  13036 3844424    0    0     0   733 2734 9160 37 14 49  0  0
 1  0      0 8207976  13036 3841880    0    0     0   652 3599 9255 73 17 10  0  0
 8  0      0 8180604  13036 3866228    0    0     0  1499 3738 11196 35 11 54  0  0
 1  0      0 8195476  13036 3839360    0    0     0   295 2350 7103 20  5 75  0  0
 0  0      0 8185444  13036 3876664    0    0     0   422 1881 5533 17  4 78  0  0
 0  0      0 8226824  13036 3838252    0    0     0   445 1727 4571 13  4 82  0  0
 0  0      0 8325764  13036 3815244    0    0     0   641 1179 2466  6  3 91  0  0
 0  0      0 8318384  13036 3817760    0    0     0   305 1539 3981 10  4 85  0  0
 0  0      0 8317880  13036 3813692    0    0     0    42 1105 2516  5  3 93  0  0
 1  0      0 8310072  13036 3822564    0    0     0   384 1424 3567  7  4 90  0  0
 1  0      0 8324824  13036 3811400    0    0     0   243 1332 3286  7  3 89  0  0
 3  0      0 8318284  13036 3812576    0    0     0    23 1296 3326  7  3 90  0  0
 1  0      0 8329260  13036 3807696    0    0     0   807 1560 3973  9  4 87  0  0
 5  0      0 8313164  13036 3804292    0    0     0  1271 1530 3783 10  4 86  0  0
 3  0      0 8309636  13036 3806732    0    0     0   187 1227 2851  7  3 91  0  0
 3  1      0 8312160  13036 3808356    0    0     0   167 1327 3197  7  3 89  0  0
 1  0      0 8310144  13036 3803196    0    0     0   261 1499 3884  8  3 88  0  0
 1  0      0 8332184  13036 3803932    0    0     0   178 1296 2805  7  3 90  0  0
 2  0      0 8329664  13036 3804676    0    0     0   235 1231 2945  6  3 91  0  0
 1  0      0 8322620  13036 3806472    0    0     0   789 1458 3770  8  3 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8321864  13036 3806344    0    0     0   105 1232 2856  6  3 91  0  0
 1  0      0 8321360  13036 3807432    0    0     0   321 1326 3361  7  3 89  0  0
 0  0      0 8315816  13036 3809292    0    0     0   578 1437 3809  7  4 89  0  0
 0  0      0 8315564  13036 3809296    0    0     0     0 1337 3391  7  3 89  0  0
 0  0      0 8312540  13036 3810456    0    0     0   306 1335 3142  7  3 89  0  0
 0  0      0 8298428  13036 3815588    0    0     0   887 1361 3393  7  3 90  0  0
 0  0      0 8299436  13036 3812116    0    0     0     4 1126 2649  5  2 93  0  0
 0  0      0 8298176  13036 3814876    0    0     0   188 1214 2933  5  3 92  0  0
 0  0      0 8313908  13036 3813500    0    0     0   162 1189 2629  7  3 91  0  0
 1  0      0 8309628  13036 3799012    0    0     0   632 1567 4266  7  4 89  0  0
 1  0      0 8326340  13036 3807664    0    0     0   135 1214 3121  6  3 91  0  0
 4  0      0 8324828  13036 3799440    0    0     0   339 1132 2365  6  2 92  0  0
 1  0      0 8319536  13036 3800112    0    0     0   170 1205 2679  7  3 90  0  0
 0  0      0 8318528  13036 3803824    0    0     0     3 1069 2468  5  2 92  0  0
 0  0      0 8310352  13036 3801724    0    0     0   373 1299 3008  7  3 90  0  0
 2  0      0 8308840  13036 3805228    0    0     0     0 1142 2473  6  3 92  0  0
 0  0      0 8305816  13036 3802676    0    0     0   260 1273 2945  6  3 91  0  0
 0  0      0 8239360  13036 3865936    0    0     0   756 2619 7267 25  7 68  0  0
 0  0      0 8234416  13036 3867712    0    0     0    21 2720 9117 24  8 68  0  0
 0  0      0 8260260  13036 3840304    0    0     0    52 1414 3629  8  3 89  0  0
 0  0      0 8277072  13036 3830140    0    0     0    32 1047 2105  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8293112  13036 3829972    0    0     0     3  840 1544  3  2 95  0  0
 2  0      0 8309396  13036 3829960    0    0     0     0  786 1352  3  2 95  0  0
 0  0      0 8310180  13036 3820964    0    0     0   386  786 1379  3  2 95  0  0
 1  0      0 8325944  13036 3820968    0    0     0     6  912 1752  3  3 94  0  0
 0  0      0 8325692  13036 3820992    0    0     0     1  592 1059  2  1 97  0  0
 1  0      0 8325440  13036 3820968    0    0     0    41  587 1073  2  1 97  0  0
 1  0      0 8315364  13036 3820972    0    0     0     6  673 1223  3  2 95  0  0
 2  0      0 8315112  13036 3816876    0    0     0    42  571 1053  2  1 97  0  0
 1  0      0 8328796  13036 3805684    0    0     0   988  665 1326  2  1 96  0  0
 2  0      0 8327792  13036 3802004    0    0     0     0  573 1059  2  1 97  0  0
 1  0      0 8327540  13036 3802004    0    0     0     0  565 1042  2  1 97  0  0
 2  0      0 8327064  13036 3802008    0    0     0     0  542  998  2  1 98  0  0
 1  0      0 8326812  13036 3802008    0    0     0     3  564 1033  2  1 97  0  0
 2  0      0 8326312  13036 3802008    0    0     0     1  601 1108  2  1 97  0  0
 1  0      0 8325808  13036 3801996    0    0     0   260  624 1114  4  1 95  0  0
 2  0      0 8325304  13036 3801996    0    0     0    30  614 1098  2  1 97  0  0
 1  0      0 8325052  13036 3802040    0    0     0    26  575 1080  2  1 97  0  0
 1  0      0 8324548  13036 3801844    0    0     0     0  787 1227  6  3 91  0  0
 2  0      0 8324296  13036 3801844    0    0     0    14  564 1029  2  1 97  0  0
 0  0      0 8323804  13036 3803032    0    0     0     0  739 1564  4  1 95  0  0
 0  0      0 8323328  13036 3801380    0    0     0     2  981 2336  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
